,user,artist_name,play_count,artist_url
117,juno_fm,"Earth, Wind & Fire",241,"https://www.last.fm/music/Earth,+Wind+&+Fire"

118,juno_fm,Enya,229,https://www.last.fm/music/Enya

119,juno_fm,Rei Harakami,229,https://www.last.fm/music/Rei+Harakami

120,juno_fm,中島美嘉,223,https://www.last.fm/music/%E4%B8%AD%E5%B3%B6%E7%BE%8E%E5%98%89

121,juno_fm,The Style Council,207,https://www.last.fm/music/The+Style+Council

122,juno_fm,Billy Joel,192,https://www.last.fm/music/Billy+Joel

123,juno_fm,Carpenters,191,https://www.last.fm/music/Carpenters

124,juno_fm,木村カエラ,188,https://www.last.fm/music/%E6%9C%A8%E6%9D%91%E3%82%AB%E3%82%A8%E3%83%A9

125,juno_fm,坂本龍一,182,https://www.last.fm/music/%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80

126,juno_fm,U2,163,https://www.last.fm/music/U2

127,juno_fm,MISIA,154,https://www.last.fm/music/MISIA

128,juno_fm,Norah Jones,151,https://www.last.fm/music/Norah+Jones

129,juno_fm,Toshinobu Kubota,146,https://www.last.fm/music/Toshinobu+Kubota

130,juno_fm,Donald Fagen,140,https://www.last.fm/music/Donald+Fagen

131,juno_fm,The Cardigans,137,https://www.last.fm/music/The+Cardigans

132,juno_fm,ORIGINAL LOVE,130,https://www.last.fm/music/ORIGINAL+LOVE

133,juno_fm,渡辺美里,126,https://www.last.fm/music/%E6%B8%A1%E8%BE%BA%E7%BE%8E%E9%87%8C

134,juno_fm,Begin,125,https://www.last.fm/music/Begin

135,juno_fm,Paul Weller,119,https://www.last.fm/music/Paul+Weller

136,juno_fm,Mika Nakashima,115,https://www.last.fm/music/+noredirect/Mika+Nakashima

137,juno_fm,Gloria Estefan,113,https://www.last.fm/music/Gloria+Estefan

138,juno_fm,Crystal Kay,106,https://www.last.fm/music/Crystal+Kay

139,juno_fm,Journey,105,https://www.last.fm/music/Journey

140,juno_fm,Yasuaki Shimizu,93,https://www.last.fm/music/Yasuaki+Shimizu

141,juno_fm,Def Tech,91,https://www.last.fm/music/Def+Tech

142,juno_fm,Procol Harum,91,https://www.last.fm/music/Procol+Harum

143,juno_fm,安良城紅,90,https://www.last.fm/music/%E5%AE%89%E8%89%AF%E5%9F%8E%E7%B4%85

144,juno_fm,ケツメイシ,88,https://www.last.fm/music/%E3%82%B1%E3%83%84%E3%83%A1%E3%82%A4%E3%82%B7

145,juno_fm,Cloudberry Jam,87,https://www.last.fm/music/Cloudberry+Jam

146,juno_fm,柴咲コウ,86,https://www.last.fm/music/%E6%9F%B4%E5%92%B2%E3%82%B3%E3%82%A6

147,juno_fm,Unicorn,85,https://www.last.fm/music/Unicorn

148,juno_fm,Issei Noro,83,https://www.last.fm/music/Issei+Noro

149,juno_fm,平井堅,81,https://www.last.fm/music/%E5%B9%B3%E4%BA%95%E5%A0%85

150,angilbertomnz,Lady Gaga,17572,https://www.last.fm/music/Lady+Gaga

151,angilbertomnz,Beyoncé,9409,https://www.last.fm/music/Beyonc%C3%A9

152,angilbertomnz,Joss Stone,4136,https://www.last.fm/music/Joss+Stone

153,angilbertomnz,Natasha Bedingfield,3782,https://www.last.fm/music/Natasha+Bedingfield

154,angilbertomnz,Madonna,2796,https://www.last.fm/music/Madonna

155,angilbertomnz,Christina Aguilera,2025,https://www.last.fm/music/Christina+Aguilera

156,angilbertomnz,Mumford & Sons,1952,https://www.last.fm/music/Mumford+&+Sons

157,angilbertomnz,Rihanna,1881,https://www.last.fm/music/Rihanna

158,angilbertomnz,Nicki Minaj,1694,https://www.last.fm/music/Nicki+Minaj

159,angilbertomnz,Cher,1583,https://www.last.fm/music/Cher

160,angilbertomnz,Adele,1471,https://www.last.fm/music/Adele

161,angilbertomnz,P!nk,1458,https://www.last.fm/music/P!nk

162,angilbertomnz,Medina,1435,https://www.last.fm/music/Medina

163,angilbertomnz,Britney Spears,1340,https://www.last.fm/music/Britney+Spears

164,angilbertomnz,Lana Del Rey,1324,https://www.last.fm/music/Lana+Del+Rey

165,angilbertomnz,Glee Cast,1287,https://www.last.fm/music/Glee+Cast

166,angilbertomnz,Nicole Scherzinger,1254,https://www.last.fm/music/Nicole+Scherzinger

167,angilbertomnz,David Guetta,1209,https://www.last.fm/music/David+Guetta

168,angilbertomnz,Robyn,1199,https://www.last.fm/music/Robyn

169,angilbertomnz,Evanescence,1184,https://www.last.fm/music/Evanescence

170,angilbertomnz,Jessie J,1168,https://www.last.fm/music/Jessie+J

171,angilbertomnz,Amy Winehouse,1166,https://www.last.fm/music/Amy+Winehouse

172,angilbertomnz,Demi Lovato,1138,https://www.last.fm/music/Demi+Lovato

173,angilbertomnz,Azealia Banks,1109,https://www.last.fm/music/Azealia+Banks

174,angilbertomnz,Adam Lambert,1009,https://www.last.fm/music/Adam+Lambert

175,angilbertomnz,Avril Lavigne,1001,https://www.last.fm/music/Avril+Lavigne

176,angilbertomnz,London Grammar,912,https://www.last.fm/music/London+Grammar

177,angilbertomnz,Black Eyed Peas,901,https://www.last.fm/music/Black+Eyed+Peas

178,angilbertomnz,Florence + the Machine,855,https://www.last.fm/music/Florence+%252B+the+Machine

179,angilbertomnz,Natalia Kills,811,https://www.last.fm/music/Natalia+Kills

180,angilbertomnz,Katy Perry,802,https://www.last.fm/music/Katy+Perry

181,angilbertomnz,Clare Maguire,797,https://www.last.fm/music/Clare+Maguire

182,angilbertomnz,Kelly Clarkson,763,https://www.last.fm/music/Kelly+Clarkson

183,angilbertomnz,Kylie Minogue,744,https://www.last.fm/music/Kylie+Minogue

184,angilbertomnz,Jennifer Hudson,739,https://www.last.fm/music/Jennifer+Hudson

185,angilbertomnz,Nelly Furtado,725,https://www.last.fm/music/Nelly+Furtado

186,angilbertomnz,Calvin Harris,688,https://www.last.fm/music/Calvin+Harris

187,angilbertomnz,Metric,650,https://www.last.fm/music/Metric

188,angilbertomnz,Shakira,629,https://www.last.fm/music/Shakira

189,angilbertomnz,Linkin Park,616,https://www.last.fm/music/Linkin+Park

190,angilbertomnz,Birdy,603,https://www.last.fm/music/Birdy

191,angilbertomnz,Leona Lewis,565,https://www.last.fm/music/Leona+Lewis

192,angilbertomnz,Iggy Azalea,555,https://www.last.fm/music/Iggy+Azalea

193,angilbertomnz,Legião Urbana,537,https://www.last.fm/music/Legi%C3%A3o+Urbana

194,angilbertomnz,Coldplay,526,https://www.last.fm/music/Coldplay

195,angilbertomnz,Ke$ha,517,https://www.last.fm/music/Ke$ha

196,angilbertomnz,Valesca Popozuda,510,https://www.last.fm/music/Valesca+Popozuda

197,angilbertomnz,30 Seconds to Mars,501,https://www.last.fm/music/30+Seconds+to+Mars

198,angilbertomnz,Disclosure,488,https://www.last.fm/music/Disclosure

199,angilbertomnz,Kanye West,456,https://www.last.fm/music/Kanye+West

200,RonasKesmez,Radiohead,1910,https://www.last.fm/music/Radiohead

201,RonasKesmez,Sufjan Stevens,1493,https://www.last.fm/music/Sufjan+Stevens

202,RonasKesmez,Everything Everything,1492,https://www.last.fm/music/Everything+Everything

203,RonasKesmez,Death Grips,1261,https://www.last.fm/music/Death+Grips

204,RonasKesmez,Milo,1211,https://www.last.fm/music/Milo

205,RonasKesmez,BROCKHAMPTON,1037,https://www.last.fm/music/BROCKHAMPTON

206,RonasKesmez,Mitski,845,https://www.last.fm/music/Mitski

207,RonasKesmez,Sharon Van Etten,807,https://www.last.fm/music/Sharon+Van+Etten

208,RonasKesmez,James Blake,781,https://www.last.fm/music/James+Blake

209,RonasKesmez,Angel Olsen,770,https://www.last.fm/music/Angel+Olsen

210,RonasKesmez,The National,769,https://www.last.fm/music/The+National

211,RonasKesmez,Andrew Bird,713,https://www.last.fm/music/Andrew+Bird

212,RonasKesmez,Injury Reserve,701,https://www.last.fm/music/Injury+Reserve

